Date,Open,High,Low,Close,Volume
2018-01-01,10428.28,10476.92,10348.66,10422.72,303882462
2018-01-02,10343.9,10423.34,10271.05,10339.62,180214513
2018-01-03,10387.75,10459.95,10304.85,10360.09,288729776
2018-01-04,10351.94,10355.79,10278.87,10300.44,176137282
2018-01-05,10240.55,10389.11,10173.6,10347.07,342512287
2018-01-08,10362.7,10463.66,10241.1,10327.04,280652055
2018-01-09,10264.48,10406.67,10231.49,10376.99,241243516
2018-01-10,10351.92,10358.18,10210.18,10219.95,276036625
2018-01-11,10207.93,10267.15,10131.79,10212.58,188963595
2018-01-12,10231.32,10274.79,10123.06,10217.03,238845631
2018-01-15,10237.44,10280.68,10054.16,10176.35,288406192
2018-01-16,10160.56,10208.86,10102.82,10135.49,241404702
2018-01-17,10131.68,10266.05,10096.76,10258.55,322499086
2018-01-18,10229.34,10346.52,10172.63,10268.9,221854653
2018-01-19,10364.25,10435.04,10286.98,10319.71,289701766
2018-01-22,10375.54,10403.24,10108.67,10165.62,218159813
2018-01-23,10153.67,10158.97,10085.57,10103.28,244895088
2018-01-24,10240.76,10278.28,10110.51,10160.51,183245365
2018-01-25,10196.82,10314.07,10176.65,10254.38,186117348
2018-01-26,10346.93,10375.57,10005.17,10040.78,751272895
2018-01-29,10045.41,10212.12,10028.97,10177.0,221694408
2018-01-30,10161.67,10181.71,10086.47,10150.57,341917787
2018-01-31,10128.24,10230.53,10077.31,10198.73,334709871
2018-02-01,10173.77,10273.23,10154.81,10249.06,201746871
2018-02-02,10253.06,10265.84,9956.65,10013.33,450200163
2018-02-05,10009.76,10064.58,9805.99,9910.66,320541467
2018-02-06,9905.81,9964.53,9735.73,9836.43,189989354
2018-02-07,9821.58,9871.03,9644.47,9696.25,197468506
2018-02-08,9647.84,9701.23,9514.28,9556.57,249049139
2018-02-09,9567.88,9805.05,9521.73,9721.18,229550350
2018-02-12,9777.49,9824.54,9650.74,9666.68,196175734
2018-02-13,9672.24,9779.4,9641.61,9704.76,213538042
2018-02-14,9754.22,9820.27,9617.1,9673.78,325436195
2018-02-15,9699.53,9909.9,9660.27,9851.26,198154573
2018-02-16,9898.38,9932.31,9799.12,9800.88,316311974
2018-02-19,9807.35,9887.76,9786.31,9826.24,256729316
2018-02-20,9818.53,9868.89,9755.81,9863.45,245458724
2018-02-21,9821.7,9959.17,9772.23,9860.06,253507370
2018-02-22,9831.95,9975.8,9782.29,9914.9,252547880
2018-02-23,9947.18,10127.45,9787.06,10106.24,321304827
2018-02-26,10196.83,10246.2,10135.06,10208.7,259987196
2018-02-27,10218.03,10298.95,10087.75,10166.36,347429047
2018-02-28,10159.56,10301.31,10139.39,10197.01,342530587
2018-03-01,10248.94,10298.93,10175.02,10222.62,226923869
2018-03-02,10275.39,10318.41,10171.5,10173.47,185003922
2018-03-05,10131.93,10168.67,10070.55,10136.13,343136308
2018-03-06,10158.91,10218.75,10083.23,10096.15,216160681
2018-03-07,10158.08,10251.45,9973.03,10024.11,283391764
2018-03-08,9977.72,10209.19,9958.08,10138.92,210745359
2018-03-09,10132.61,10161.26,10095.86,10110.51,227499488
2018-03-12,10083.24,10286.58,10001.9,10188.95,349729527
2018-03-13,10204.85,10282.33,10148.16,10231.46,338320391
2018-03-14,10293.12,10306.45,10253.98,10298.19,320905367
2018-03-15,10281.89,10346.77,10185.18,10335.94,176369043
2018-03-16,10350.21,10378.0,10312.21,10325.92,198500945
2018-03-19,10340.63,10400.98,10120.79,10148.61,280845219
2018-03-20,10143.07,10173.63,10091.55,10126.36,260493074
2018-03-21,10191.27,10208.88,9999.45,10076.37,223419039
2018-03-22,10145.57,10197.37,10090.8,10126.01,304715408
2018-03-23,10085.46,10125.65,10013.15,10075.46,329543618
2018-03-26,10117.13,10145.97,10007.26,10077.9,200916412
2018-03-27,10102.0,10170.35,9887.79,9980.69,325622951
2018-03-28,10002.76,10040.13,9841.91,9891.41,311520342
